 mn7 import file
m	dy	h	G_Gh	Ta	Td
 1	 1	 1	0	10.5	6.6
 1	 1	 2	0	10.4	5.3
 1	 1	 3	0	10.2	4.7
 1	 1	 4	0	10.0	4.5
 1	 1	 5	0	9.9	4.2
 1	 1	 6	0	9.8	4.5
 1	 1	 7	0	9.7	4.2
 1	 1	 8	0	9.7	3.8
 1	 1	 9	0	9.7	4.2
 1	 1	 10	27	10.2	4.4
 1	 1	 11	66	10.8	3.2
 1	 1	 12	101	11.4	3.3
 1	 1	 13	128	11.9	3.4
 1	 1	 14	119	12.3	3.2
 1	 1	 15	89	12.4	3.4
 1	 1	 16	47	12.1	4.0
 1	 1	 17	2	11.7	4.3
 1	 1	 18	0	11.3	4.4
 1	 1	 19	0	11.0	4.0
 1	 1	 20	0	10.6	4.0
 1	 1	 21	0	10.2	3.8
 1	 1	 22	0	9.8	3.2
 1	 1	 23	0	9.5	1.7
 1	 1	 24	0	9.1	2.0
 1	 2	 1	0	8.6	1.5
 1	 2	 2	0	8.0	0.9
 1	 2	 3	0	7.4	1.0
 1	 2	 4	0	7.1	1.0
 1	 2	 5	0	6.8	1.2
 1	 2	 6	0	6.4	1.2
 1	 2	 7	0	6.2	1.0
 1	 2	 8	0	5.9	0.3
 1	 2	 9	0	5.8	-0.3
 1	 2	 10	27	6.1	1.4
 1	 2	 11	69	6.4	1.7
 1	 2	 12	107	6.8	2.4
 1	 2	 13	118	7.0	2.3
 1	 2	 14	104	7.1	2.4
 1	 2	 15	79	7.1	3.2
 1	 2	 16	43	6.8	3.6
 1	 2	 17	2	6.5	3.8
 1	 2	 18	0	6.4	4.7
 1	 2	 19	0	6.3	3.5
 1	 2	 20	0	6.3	3.9
 1	 2	 21	0	6.2	5.3
 1	 2	 22	0	6.2	6.1
 1	 2	 23	0	6.1	5.5
 1	 2	 24	0	5.9	5.2
 1	 3	 1	0	6.3	5.9
 1	 3	 2	0	6.5	5.8
 1	 3	 3	0	6.6	6.0
 1	 3	 4	0	6.6	6.2
 1	 3	 5	0	6.9	6.5
 1	 3	 6	0	7.3	6.9
 1	 3	 7	0	7.4	7.0
 1	 3	 8	0	7.5	7.1
 1	 3	 9	0	7.6	7.2
 1	 3	 10	5	7.8	7.1
 1	 3	 11	13	8.2	7.5
 1	 3	 12	18	8.5	7.8
 1	 3	 13	21	8.8	7.9
 1	 3	 14	20	9.0	8.3
 1	 3	 15	16	9.1	8.1
 1	 3	 16	9	9.1	7.3
 1	 3	 17	2	8.8	7.2
 1	 3	 18	0	8.8	7.5
 1	 3	 19	0	8.9	8.5
 1	 3	 20	0	8.9	7.7
 1	 3	 21	0	8.8	8.0
 1	 3	 22	0	8.4	8.0
 1	 3	 23	0	8.6	8.2
 1	 3	 24	0	7.8	7.6
 1	 4	 1	0	8.3	6.1
 1	 4	 2	0	7.6	5.7
 1	 4	 3	0	6.9	5.6
 1	 4	 4	0	6.2	5.4
 1	 4	 5	0	6.3	5.2
 1	 4	 6	0	6.0	4.8
 1	 4	 7	0	5.8	5.3
 1	 4	 8	0	5.5	5.1
 1	 4	 9	0	5.3	4.0
 1	 4	 10	5	5.1	4.7
 1	 4	 11	12	4.8	4.1
 1	 4	 12	18	4.5	3.9
 1	 4	 13	20	4.3	3.6
 1	 4	 14	19	4.0	3.4
 1	 4	 15	18	3.9	3.2
 1	 4	 16	10	4.8	4.1
 1	 4	 17	2	4.9	3.3
 1	 4	 18	0	4.5	3.9
 1	 4	 19	0	4.2	3.5
 1	 4	 20	0	3.9	3.2
 1	 4	 21	0	3.5	2.9
 1	 4	 22	0	3.2	2.5
 1	 4	 23	0	2.8	2.2
 1	 4	 24	0	2.5	1.8
 1	 5	 1	0	2.2	1.6
 1	 5	 2	0	2.0	1.0
 1	 5	 3	0	1.7	0.9
 1	 5	 4	0	1.6	0.4
 1	 5	 5	0	1.5	0.2
 1	 5	 6	0	1.4	0.6
 1	 5	 7	0	1.3	-0.3
 1	 5	 8	0	1.3	-0.5
 1	 5	 9	0	1.3	-0.2
 1	 5	 10	56	2.4	-0.3
 1	 5	 11	132	3.8	0.0
 1	 5	 12	208	5.3	0.4
 1	 5	 13	255	6.5	-0.2
 1	 5	 14	243	7.3	0.5
 1	 5	 15	203	7.6	0.1
 1	 5	 16	110	7.3	0.3
 1	 5	 17	9	6.2	-0.5
 1	 5	 18	0	5.8	-1.2
 1	 5	 19	0	5.4	-1.5
 1	 5	 20	0	5.0	-1.5
 1	 5	 21	0	4.6	-1.1
 1	 5	 22	0	4.2	-1.3
 1	 5	 23	0	3.8	-1.8
 1	 5	 24	0	3.4	-1.7
 1	 6	 1	0	2.9	-2.9
 1	 6	 2	0	2.4	-3.8
 1	 6	 3	0	2.0	-4.2
 1	 6	 4	0	1.7	-4.3
 1	 6	 5	0	1.4	-3.9
 1	 6	 6	0	1.2	-4.7
 1	 6	 7	0	1.0	-4.3
 1	 6	 8	0	0.8	-4.7
 1	 6	 9	0	0.8	-3.3
 1	 6	 10	50	1.6	-3.7
 1	 6	 11	144	3.0	-3.7
 1	 6	 12	231	4.5	-4.0
 1	 6	 13	271	5.6	-3.2
 1	 6	 14	209	6.0	-1.4
 1	 6	 15	182	6.1	-1.8
 1	 6	 16	97	5.7	-2.3
 1	 6	 17	12	4.7	-2.5
 1	 6	 18	0	4.4	-3.3
 1	 6	 19	0	4.0	-3.1
 1	 6	 20	0	3.6	-2.8
 1	 6	 21	0	3.2	-2.7
 1	 6	 22	0	2.8	-2.5
 1	 6	 23	0	2.5	-3.3
 1	 6	 24	0	2.1	-3.9
 1	 7	 1	0	1.8	-3.7
 1	 7	 2	0	1.5	-3.1
 1	 7	 3	0	1.2	-2.9
 1	 7	 4	0	1.1	-3.8
 1	 7	 5	0	1.0	-3.0
 1	 7	 6	0	0.8	-3.1
 1	 7	 7	0	0.8	-2.9
 1	 7	 8	0	0.7	-3.1
 1	 7	 9	0	0.7	-2.5
 1	 7	 10	61	1.9	-2.1
 1	 7	 11	155	3.5	-1.0
 1	 7	 12	239	5.1	-0.5
 1	 7	 13	273	6.4	0.6
 1	 7	 14	264	7.1	-0.4
 1	 7	 15	185	7.3	-0.2
 1	 7	 16	98	6.7	-0.5
 1	 7	 17	4	5.6	-0.4
 1	 7	 18	0	5.2	0.4
 1	 7	 19	0	4.9	1.4
 1	 7	 20	0	4.6	0.9
 1	 7	 21	0	4.3	0.5
 1	 7	 22	0	4.0	0.3
 1	 7	 23	0	3.7	0.2
 1	 7	 24	0	3.4	0.0
 1	 8	 1	0	3.1	-1.1
 1	 8	 2	0	2.7	-1.1
 1	 8	 3	0	2.4	-1.4
 1	 8	 4	0	2.2	-1.9
 1	 8	 5	0	2.0	-0.9
 1	 8	 6	0	1.8	-0.6
 1	 8	 7	0	1.7	-0.3
 1	 8	 8	0	1.6	-0.2
 1	 8	 9	0	1.5	-0.9
 1	 8	 10	29	2.0	-0.8
 1	 8	 11	81	2.7	-1.0
 1	 8	 12	118	3.4	-0.6
 1	 8	 13	154	4.0	-0.1
 1	 8	 14	136	4.3	0.7
 1	 8	 15	97	4.3	-0.1
 1	 8	 16	54	4.1	-0.5
 1	 8	 17	3	3.6	-0.6
 1	 8	 18	0	3.3	-0.6
 1	 8	 19	0	3.0	-1.4
 1	 8	 20	0	2.7	-1.6
 1	 8	 21	0	2.3	-0.5
 1	 8	 22	0	2.1	0.6
 1	 8	 23	0	1.8	1.1
 1	 8	 24	0	1.5	1.0
 1	 9	 1	0	1.3	0.9
 1	 9	 2	0	1.0	0.3
 1	 9	 3	0	0.8	0.4
 1	 9	 4	0	0.6	0.3
 1	 9	 5	0	0.5	0.1
 1	 9	 6	0	0.4	-0.3
 1	 9	 7	0	0.3	-0.1
 1	 9	 8	0	0.2	-0.2
 1	 9	 9	0	0.1	-0.3
 1	 9	 10	14	0.3	-0.2
 1	 9	 11	39	0.6	-0.2
 1	 9	 12	55	0.8	-1.4
 1	 9	 13	60	1.0	-1.9
 1	 9	 14	54	1.0	-2.3
 1	 9	 15	50	1.1	-2.8
 1	 9	 16	29	1.0	-1.4
 1	 9	 17	3	0.8	-1.5
 1	 9	 18	0	0.7	-1.8
 1	 9	 19	0	0.6	-1.0
 1	 9	 20	0	0.3	-0.6
 1	 9	 21	0	0.5	0.1
 1	 9	 22	0	0.4	0.0
 1	 9	 23	0	0.3	-0.1
 1	 9	 24	0	0.3	-0.1
 1	 10	 1	0	0.3	-0.1
 1	 10	 2	0	0.3	0.0
 1	 10	 3	0	0.4	0.0
 1	 10	 4	0	0.4	0.0
 1	 10	 5	0	0.4	0.1
 1	 10	 6	0	0.5	0.1
 1	 10	 7	0	0.5	-0.7
 1	 10	 8	0	0.5	-1.4
 1	 10	 9	0	0.5	-1.1
 1	 10	 10	7	0.7	-0.2
 1	 10	 11	18	1.0	0.4
 1	 10	 12	28	1.2	0.0
 1	 10	 13	31	1.4	0.6
 1	 10	 14	29	1.5	0.5
 1	 10	 15	24	1.6	0.3
 1	 10	 16	15	1.5	0.5
 1	 10	 17	3	1.4	1.2
 1	 10	 18	0	1.3	0.7
 1	 10	 19	0	1.3	0.6
 1	 10	 20	0	1.0	0.6
 1	 10	 21	0	1.4	1.0
 1	 10	 22	0	1.4	0.7
 1	 10	 23	0	1.4	0.9
 1	 10	 24	0	1.4	-0.8
 1	 11	 1	0	1.4	-1.4
 1	 11	 2	0	1.1	-0.6
 1	 11	 3	0	1.4	-1.4
 1	 11	 4	0	1.4	-0.2
 1	 11	 5	0	1.4	0.0
 1	 11	 6	0	1.4	1.0
 1	 11	 7	0	1.4	1.0
 1	 11	 8	0	1.4	1.0
 1	 11	 9	0	1.4	0.4
 1	 11	 10	11	1.6	0.9
 1	 11	 11	28	2.0	-0.1
 1	 11	 12	37	2.2	-0.2
 1	 11	 13	43	2.4	-0.2
 1	 11	 14	40	2.6	-1.3
 1	 11	 15	32	2.6	-1.1
 1	 11	 16	19	2.5	-0.7
 1	 11	 17	3	2.4	-1.3
 1	 11	 18	0	2.2	-2.0
 1	 11	 19	0	2.1	-2.2
 1	 11	 20	0	2.0	-2.7
 1	 11	 21	0	1.9	-2.5
 1	 11	 22	0	1.7	-2.7
 1	 11	 23	0	1.6	-2.9
 1	 11	 24	0	1.5	-3.1
 1	 12	 1	0	0.6	-3.2
 1	 12	 2	0	-0.5	-3.0
 1	 12	 3	0	-1.5	-3.2
 1	 12	 4	0	-2.2	-3.1
 1	 12	 5	0	-2.8	-3.9
 1	 12	 6	0	-3.5	-3.6
 1	 12	 7	0	-3.9	-3.9
 1	 12	 8	0	-4.4	-4.4
 1	 12	 9	0	-4.6	-4.6
 1	 12	 10	59	-4.3	-4.3
 1	 12	 11	147	-3.9	-4.3
 1	 12	 12	218	-3.4	-4.5
 1	 12	 13	256	-3.1	-5.3
 1	 12	 14	248	-3.0	-5.0
 1	 12	 15	206	-3.1	-5.0
 1	 12	 16	125	-3.4	-5.6
 1	 12	 17	16	-4.1	-4.5
 1	 12	 18	0	-4.6	-4.9
 1	 12	 19	0	-5.1	-5.8
 1	 12	 20	0	-5.6	-6.2
 1	 12	 21	0	-6.1	-6.1
 1	 12	 22	0	-5.6	-6.3
 1	 12	 23	0	-5.6	-6.5
 1	 12	 24	0	-5.6	-6.3
 1	 13	 1	0	-5.6	-5.6
 1	 13	 2	0	-5.6	-5.6
 1	 13	 3	0	-5.6	-5.7
 1	 13	 4	0	-5.6	-5.6
 1	 13	 5	0	-5.6	-5.6
 1	 13	 6	0	-5.7	-5.7
 1	 13	 7	0	-5.7	-5.7
 1	 13	 8	0	-5.7	-5.7
 1	 13	 9	0	-5.7	-5.7
 1	 13	 10	60	-4.6	-4.6
 1	 13	 11	147	-3.1	-3.7
 1	 13	 12	217	-1.8	-3.5
 1	 13	 13	254	-0.7	-3.1
 1	 13	 14	252	0.1	-3.0
 1	 13	 15	204	0.3	-4.0
 1	 13	 16	123	0.0	-4.3
 1	 13	 17	17	-1.1	-4.4
 1	 13	 18	0	-1.2	-4.9
 1	 13	 19	0	-1.4	-4.5
 1	 13	 20	0	-1.5	-4.4
 1	 13	 21	0	-1.7	-4.8
 1	 13	 22	0	-1.8	-3.5
 1	 13	 23	0	-2.0	-4.1
 1	 13	 24	0	-2.2	-4.5
 1	 14	 1	0	-2.2	-4.5
 1	 14	 2	0	-2.3	-5.5
 1	 14	 3	0	-2.4	-4.7
 1	 14	 4	0	-2.4	-5.0
 1	 14	 5	0	-2.4	-5.1
 1	 14	 6	0	-2.4	-6.0
 1	 14	 7	0	-2.4	-6.1
 1	 14	 8	0	-2.4	-5.9
 1	 14	 9	0	-2.4	-6.0
 1	 14	 10	27	-1.8	-6.4
 1	 14	 11	67	-1.1	-5.4
 1	 14	 12	103	-0.3	-5.4
 1	 14	 13	116	0.2	-6.1
 1	 14	 14	109	0.5	-3.1
 1	 14	 15	85	0.7	-6.1
 1	 14	 16	46	0.5	-6.1
 1	 14	 17	3	0.0	-6.4
 1	 14	 18	0	-0.2	-6.2
 1	 14	 19	0	-0.4	-6.8
 1	 14	 20	0	-0.7	-6.1
 1	 14	 21	0	-1.0	-4.6
 1	 14	 22	0	-1.1	-3.8
 1	 14	 23	0	-1.3	-4.0
 1	 14	 24	0	-1.5	-4.0
 1	 15	 1	0	-1.8	-3.4
 1	 15	 2	0	-2.1	-3.8
 1	 15	 3	0	-2.5	-4.9
 1	 15	 4	0	-2.6	-5.3
 1	 15	 5	0	-2.7	-4.7
 1	 15	 6	0	-2.9	-5.6
 1	 15	 7	0	-3.0	-5.8
 1	 15	 8	0	-3.2	-5.9
 1	 15	 9	0	-3.2	-5.9
 1	 15	 10	37	-2.6	-5.3
 1	 15	 11	97	-1.7	-5.2
 1	 15	 12	133	-0.9	-5.5
 1	 15	 13	153	-0.3	-5.1
 1	 15	 14	142	0.0	-5.5
 1	 15	 15	103	0.0	-4.5
 1	 15	 16	65	-0.3	-5.5
 1	 15	 17	4	-0.9	-5.4
 1	 15	 18	0	-1.0	-6.3
 1	 15	 19	0	-1.0	-6.8
 1	 15	 20	0	-1.1	-6.6
 1	 15	 21	0	-1.1	-5.8
 1	 15	 22	0	-1.2	-5.5
 1	 15	 23	0	-1.2	-5.1
 1	 15	 24	0	-1.3	-5.5
 1	 16	 1	0	-1.2	-5.3
 1	 16	 2	0	-1.1	-5.7
 1	 16	 3	0	-1.1	-4.7
 1	 16	 4	0	-1.0	-3.8
 1	 16	 5	0	-0.9	-3.7
 1	 16	 6	0	-0.9	-3.3
 1	 16	 7	0	-0.9	-2.0
 1	 16	 8	0	-0.8	-2.2
 1	 16	 9	0	-0.8	-2.9
 1	 16	 10	8	-0.6	-2.4
 1	 16	 11	18	-0.3	-2.2
 1	 16	 12	25	-0.1	-1.1
 1	 16	 13	29	0.1	-1.4
 1	 16	 14	27	0.3	-2.4
 1	 16	 15	23	0.3	-3.6
 1	 16	 16	15	0.3	-2.7
 1	 16	 17	4	0.1	-1.9
 1	 16	 18	0	0.2	-2.2
 1	 16	 19	0	0.1	-1.6
 1	 16	 20	0	-0.1	-1.1
 1	 16	 21	0	0.3	-1.7
 1	 16	 22	0	0.5	-0.7
 1	 16	 23	0	0.5	-0.6
 1	 16	 24	0	0.6	-0.8
 1	 17	 1	0	0.6	-1.3
 1	 17	 2	0	0.6	-1.2
 1	 17	 3	0	0.6	-1.8
 1	 17	 4	0	0.6	-2.2
 1	 17	 5	0	0.4	-2.8
 1	 17	 6	0	0.6	-0.8
 1	 17	 7	0	0.6	0.0
 1	 17	 8	0	0.6	0.2
 1	 17	 9	0	0.6	0.0
 1	 17	 10	6	0.8	0.4
 1	 17	 11	15	1.0	0.4
 1	 17	 12	31	1.3	0.7
 1	 17	 13	34	1.5	0.9
 1	 17	 14	221	3.2	2.1
 1	 17	 15	185	4.1	0.6
 1	 17	 16	119	4.4	0.1
 1	 17	 17	38	4.1	-0.5
 1	 17	 18	0	3.5	0.0
 1	 17	 19	0	3.7	0.0
 1	 17	 20	0	3.8	-0.3
 1	 17	 21	0	4.0	-0.1
 1	 17	 22	0	4.2	-0.2
 1	 17	 23	0	4.3	0.8
 1	 17	 24	0	4.5	0.5
 1	 18	 1	0	4.4	1.0
 1	 18	 2	0	4.3	1.0
 1	 18	 3	0	4.2	2.3
 1	 18	 4	0	4.2	2.9
 1	 18	 5	0	4.1	3.0
 1	 18	 6	0	4.1	3.6
 1	 18	 7	0	4.0	2.9
 1	 18	 8	0	4.0	2.4
 1	 18	 9	0	4.0	2.0
 1	 18	 10	11	4.2	1.7
 1	 18	 11	28	4.1	2.7
 1	 18	 12	42	4.6	2.0
 1	 18	 13	43	4.8	2.1
 1	 18	 14	42	4.9	1.7
 1	 18	 15	34	4.9	1.3
 1	 18	 16	20	4.8	1.7
 1	 18	 17	7	4.6	1.3
 1	 18	 18	0	4.5	1.8
 1	 18	 19	0	4.7	1.7
 1	 18	 20	0	5.0	1.5
 1	 18	 21	0	5.2	2.0
 1	 18	 22	0	5.5	1.9
 1	 18	 23	0	5.7	2.4
 1	 18	 24	0	6.0	3.6
 1	 19	 1	0	5.6	3.5
 1	 19	 2	0	6.0	2.7
 1	 19	 3	0	6.2	3.6
 1	 19	 4	0	6.3	4.0
 1	 19	 5	0	6.4	3.8
 1	 19	 6	0	6.4	4.5
 1	 19	 7	0	6.5	4.8
 1	 19	 8	0	6.5	4.7
 1	 19	 9	0	6.6	4.4
 1	 19	 10	6	6.8	3.8
 1	 19	 11	15	7.0	3.2
 1	 19	 12	22	7.2	3.4
 1	 19	 13	26	7.4	3.6
 1	 19	 14	26	7.4	3.6
 1	 19	 15	20	7.6	3.8
 1	 19	 16	13	7.5	3.7
 1	 19	 17	5	7.5	3.7
 1	 19	 18	0	7.4	3.6
 1	 19	 19	0	7.3	3.5
 1	 19	 20	0	7.2	4.2
 1	 19	 21	0	7.2	4.3
 1	 19	 22	0	7.2	4.7
 1	 19	 23	0	7.1	5.1
 1	 19	 24	0	7.1	4.3
 1	 20	 1	0	6.7	3.7
 1	 20	 2	0	6.4	4.0
 1	 20	 3	0	5.7	4.6
 1	 20	 4	0	5.9	4.5
 1	 20	 5	0	5.9	3.4
 1	 20	 6	0	5.7	3.7
 1	 20	 7	0	5.7	5.0
 1	 20	 8	0	5.6	4.2
 1	 20	 9	0	5.6	4.8
 1	 20	 10	6	5.6	5.2
 1	 20	 11	15	5.6	4.9
 1	 20	 12	22	5.5	4.9
 1	 20	 13	26	5.5	4.8
 1	 20	 14	25	5.5	4.8
 1	 20	 15	20	5.5	4.8
 1	 20	 16	13	5.5	4.8
 1	 20	 17	5	5.4	4.7
 1	 20	 18	0	5.3	4.7
 1	 20	 19	0	5.3	4.6
 1	 20	 20	0	5.3	4.6
 1	 20	 21	0	5.2	4.5
 1	 20	 22	0	5.2	4.5
 1	 20	 23	0	5.0	4.4
 1	 20	 24	0	5.1	4.7
 1	 21	 1	0	5.2	4.8
 1	 21	 2	0	5.4	5.0
 1	 21	 3	0	5.6	5.2
 1	 21	 4	0	5.7	5.3
 1	 21	 5	0	5.9	5.5
 1	 21	 6	0	6.1	5.7
 1	 21	 7	0	6.2	5.8
 1	 21	 8	0	6.4	6.0
 1	 21	 9	4	6.6	6.2
 1	 21	 10	86	8.2	7.3
 1	 21	 11	191	10.2	7.0
 1	 21	 12	217	11.4	5.5
 1	 21	 13	319	13.0	6.0
 1	 21	 14	168	13.2	5.8
 1	 21	 15	20	11.9	8.0
 1	 21	 16	13	11.0	7.1
 1	 21	 17	5	10.3	4.8
 1	 21	 18	0	9.7	4.8
 1	 21	 19	0	9.6	5.3
 1	 21	 20	0	9.5	5.4
 1	 21	 21	0	9.4	4.5
 1	 21	 22	0	9.3	5.2
 1	 21	 23	0	9.2	5.5
 1	 21	 24	0	9.1	5.7
 1	 22	 1	0	8.6	5.9
 1	 22	 2	0	8.0	6.0
 1	 22	 3	0	7.5	5.3
 1	 22	 4	0	7.3	6.0
 1	 22	 5	0	7.0	5.7
 1	 22	 6	0	6.8	6.1
 1	 22	 7	0	6.6	5.6
 1	 22	 8	0	6.4	5.6
 1	 22	 9	2	6.5	5.2
 1	 22	 10	86	8.0	5.8
 1	 22	 11	176	9.6	5.4
 1	 22	 12	238	10.9	5.0
 1	 22	 13	282	12.0	4.6
 1	 22	 14	297	12.8	4.4
 1	 22	 15	264	13.3	5.7
 1	 22	 16	175	13.2	5.5
 1	 22	 17	65	12.4	6.7
 1	 22	 18	0	11.3	6.2
 1	 22	 19	0	10.7	7.1
 1	 22	 20	0	10.1	6.3
 1	 22	 21	0	9.4	6.1
 1	 22	 22	0	8.8	5.5
 1	 22	 23	0	8.2	4.7
 1	 22	 24	0	7.6	4.8
 1	 23	 1	0	6.9	5.3
 1	 23	 2	0	6.1	5.5
 1	 23	 3	0	5.4	5.4
 1	 23	 4	0	5.0	5.0
 1	 23	 5	0	4.6	4.6
 1	 23	 6	0	4.2	4.2
 1	 23	 7	0	3.9	3.8
 1	 23	 8	0	3.6	2.9
 1	 23	 9	1	3.6	3.4
 1	 23	 10	50	4.4	3.3
 1	 23	 11	117	5.4	3.1
 1	 23	 12	115	5.9	1.9
 1	 23	 13	170	6.6	2.1
 1	 23	 14	217	7.2	2.4
 1	 23	 15	221	7.7	1.9
 1	 23	 16	211	8.1	1.7
 1	 23	 17	82	7.7	-0.2
 1	 23	 18	1	6.8	-0.5
 1	 23	 19	0	6.1	-1.5
 1	 23	 20	0	5.3	-2.2
 1	 23	 21	0	4.5	-2.7
 1	 23	 22	0	3.7	-2.8
 1	 23	 23	0	2.9	-2.7
 1	 23	 24	0	2.1	-2.3
 1	 24	 1	0	1.5	-1.1
 1	 24	 2	0	0.8	-1.8
 1	 24	 3	0	0.1	-2.1
 1	 24	 4	0	-0.3	-1.9
 1	 24	 5	0	-0.7	-1.9
 1	 24	 6	0	-1.1	-2.5
 1	 24	 7	0	-1.4	-2.4
 1	 24	 8	0	-1.6	-2.1
 1	 24	 9	9	-1.4	-2.3
 1	 24	 10	102	-0.1	-2.4
 1	 24	 11	164	0.9	-2.4
 1	 24	 12	226	1.8	-2.2
 1	 24	 13	254	2.5	-1.7
 1	 24	 14	173	2.5	-1.1
 1	 24	 15	139	2.3	-0.5
 1	 24	 16	33	1.5	-0.6
 1	 24	 17	6	0.7	-0.2
 1	 24	 18	0	0.0	0.0
 1	 24	 19	0	-0.1	-0.7
 1	 24	 20	0	-0.2	-0.6
 1	 24	 21	0	-0.3	-0.7
 1	 24	 22	0	-0.4	-0.8
 1	 24	 23	0	-0.6	-0.9
 1	 24	 24	0	-0.7	-1.1
 1	 25	 1	0	-0.6	-1.2
 1	 25	 2	0	-0.6	-1.0
 1	 25	 3	0	-0.3	-0.6
 1	 25	 4	0	-0.2	-0.6
 1	 25	 5	0	-0.1	-0.5
 1	 25	 6	0	0.0	-0.4
 1	 25	 7	0	0.1	-0.3
 1	 25	 8	0	0.1	-0.3
 1	 25	 9	1	0.2	-0.2
 1	 25	 10	22	0.8	0.0
 1	 25	 11	40	1.3	-0.5
 1	 25	 12	61	1.9	-0.3
 1	 25	 13	68	2.3	-0.6
 1	 25	 14	67	2.6	-1.0
 1	 25	 15	53	2.7	-2.0
 1	 25	 16	38	2.7	-1.2
 1	 25	 17	16	2.4	0.5
 1	 25	 18	0	2.0	0.7
 1	 25	 19	0	2.2	1.6
 1	 25	 20	0	2.4	1.7
 1	 25	 21	0	2.6	1.4
 1	 25	 22	0	2.8	1.6
 1	 25	 23	0	3.1	1.9
 1	 25	 24	0	3.3	2.8
 1	 26	 1	0	3.2	1.0
 1	 26	 2	0	3.2	2.6
 1	 26	 3	0	3.2	3.0
 1	 26	 4	0	3.3	2.3
 1	 26	 5	0	3.3	2.3
 1	 26	 6	0	3.4	3.0
 1	 26	 7	0	3.4	2.6
 1	 26	 8	0	3.5	1.8
 1	 26	 9	1	3.6	1.5
 1	 26	 10	82	5.6	0.6
 1	 26	 11	166	7.6	0.9
 1	 26	 12	244	9.6	1.0
 1	 26	 13	302	11.3	0.5
 1	 26	 14	305	12.5	0.6
 1	 26	 15	271	13.2	1.4
 1	 26	 16	200	13.3	0.8
 1	 26	 17	80	12.3	2.0
 1	 26	 18	1	10.9	4.0
 1	 26	 19	0	10.4	2.7
 1	 26	 20	0	9.9	2.9
 1	 26	 21	0	9.5	3.8
 1	 26	 22	0	9.0	3.2
 1	 26	 23	0	8.5	2.9
 1	 26	 24	0	8.0	3.0
 1	 27	 1	0	7.3	3.3
 1	 27	 2	0	6.6	3.6
 1	 27	 3	0	5.8	3.5
 1	 27	 4	0	5.4	4.3
 1	 27	 5	0	5.0	5.0
 1	 27	 6	0	4.6	4.6
 1	 27	 7	0	4.4	4.4
 1	 27	 8	0	4.1	4.1
 1	 27	 9	2	4.1	4.1
 1	 27	 10	90	5.7	5.6
 1	 27	 11	201	7.6	5.0
 1	 27	 12	295	9.4	4.7
 1	 27	 13	340	10.8	4.3
 1	 27	 14	324	11.6	3.4
 1	 27	 15	266	11.9	3.2
 1	 27	 16	170	11.5	2.5
 1	 27	 17	70	10.5	1.8
 1	 27	 18	1	9.3	1.2
 1	 27	 19	0	8.5	0.7
 1	 27	 20	0	7.7	0.6
 1	 27	 21	0	6.9	0.6
 1	 27	 22	0	6.1	-0.2
 1	 27	 23	0	5.4	-0.7
 1	 27	 24	0	4.6	-1.0
 1	 28	 1	0	3.9	-0.6
 1	 28	 2	0	3.2	-0.5
 1	 28	 3	0	2.4	-1.4
 1	 28	 4	0	2.0	0.0
 1	 28	 5	0	1.6	0.5
 1	 28	 6	0	1.2	-0.1
 1	 28	 7	0	0.9	-0.1
 1	 28	 8	0	0.6	-0.1
 1	 28	 9	2	0.7	-0.4
 1	 28	 10	95	2.4	-0.3
 1	 28	 11	193	4.2	0.4
 1	 28	 12	258	5.6	-0.5
 1	 28	 13	325	7.0	-0.8
 1	 28	 14	342	8.0	0.1
 1	 28	 15	287	8.4	0.8
 1	 28	 16	186	8.1	0.7
 1	 28	 17	83	7.1	0.4
 1	 28	 18	1	5.8	2.0
 1	 28	 19	0	5.6	1.9
 1	 28	 20	0	5.4	1.2
 1	 28	 21	0	5.2	0.6
 1	 28	 22	0	5.0	0.3
 1	 28	 23	0	4.8	1.4
 1	 28	 24	0	4.7	2.3
 1	 29	 1	0	4.7	2.7
 1	 29	 2	0	4.8	1.8
 1	 29	 3	0	5.0	0.7
 1	 29	 4	0	5.0	0.4
 1	 29	 5	0	5.1	0.7
 1	 29	 6	0	5.2	1.1
 1	 29	 7	0	5.2	1.6
 1	 29	 8	0	5.3	1.3
 1	 29	 9	1	5.4	0.1
 1	 29	 10	13	5.6	1.9
 1	 29	 11	25	6.1	2.9
 1	 29	 12	36	6.4	3.7
 1	 29	 13	41	6.7	4.0
 1	 29	 14	43	6.9	3.9
 1	 29	 15	36	7.0	5.2
 1	 29	 16	23	6.6	5.7
 1	 29	 17	10	6.8	4.1
 1	 29	 18	1	6.6	4.5
 1	 29	 19	0	6.5	5.3
 1	 29	 20	0	6.4	5.2
 1	 29	 21	0	6.3	4.9
 1	 29	 22	0	6.2	4.2
 1	 29	 23	0	6.1	3.0
 1	 29	 24	0	6.0	2.8
 1	 30	 1	0	5.4	2.6
 1	 30	 2	0	4.7	3.1
 1	 30	 3	0	4.0	3.3
 1	 30	 4	0	3.6	2.5
 1	 30	 5	0	3.2	1.4
 1	 30	 6	0	2.9	2.1
 1	 30	 7	0	2.6	2.6
 1	 30	 8	0	2.3	2.3
 1	 30	 9	4	2.4	2.4
 1	 30	 10	100	4.2	4.0
 1	 30	 11	210	6.2	3.1
 1	 30	 12	296	8.0	3.5
 1	 30	 13	336	9.3	4.4
 1	 30	 14	333	10.2	4.3
 1	 30	 15	273	10.5	3.6
 1	 30	 16	185	10.1	3.8
 1	 30	 17	77	9.0	4.1
